# K10.2: one line per library.  Generated by tools/v10-libs.py.
# name dir build archive members withsource headerok demand from
libF77 libF77 mkfile libF77.a 113 113 113 8 mkfile
libI77 libI77 mkfile libI77.a 33 33 33 8 mkfile
libcbt libcbt mkfile libcbt.a 8 8 8 17 mkfile
libcc libcc makefile libcc.a 4 4 4 0 makefile
libcurses libcurses makefile crlib 35 35 35 1 makefile
libdbm libdbm makefile libdbm.a 1 1 1 2 makefile
libj libj makefile libj.a 12 12 12 2 archive
libl libl makefile libl.a 5 5 5 15 archive
libm libm makefile libm.a 1 1 1 51 makefile
libmp libmp makefile libmp.a 9 9 9 0 archive
libnm libnm makefile libnm.a 12 12 12 0 makefile
libpicfile libpicfile mkfile libpicfile.a 14 14 14 0 archive
libsdb libsdb makefile libsdb.a 1 1 1 0 GLOB
libtermlib libtermlib makefile termcap.a 3 3 3 8 makefile
liby liby makefile liby.a 2 2 2 3 makefile
libin ipc/libin mkfile libin.a 9 9 9 1 archive
libipc ipc/libipc mkfile libipc.a 9 9 9 30 archive
lib2621 libplot/lib2621 makefile lib2621.a 31 31 31 1 hp.c.a
lib4014 libplot/lib4014 makefile lib4014.a 31 31 31 2 tek.c.a
lib5620 libplot/lib5620 makefile lib5620.a 29 29 29 0 blit.c.a
libblit libplot/libblit makefile libblit.a 29 29 28 0 blit.c.a
libpen libplot/libpen makefile libpen.a 21 21 21 1 pen.c.a
libplot libplot/libplot makefile libplot.a 2 2 2 4 plot.c.a
libram libplot/libram makefile libram.a 31 31 31 1 ramtek.c.a
libtr libplot/libtr makefile libtr.a 30 30 30 1 tr.c.a
oldplot libplot/oldplot - - 1 1 1 0 GLOB
libnetb netfs/libnetb makefile libnetb.a 24 24 24 1 archive
