# Generated by v8/mk/mkdep.py -- do not edit.
#
# Every command on the shipped V8 image, and where ours comes
# from. builddisk.sh reads this: `build' is taken from DESTDIR,
# `copy' is lifted off the golden image.
#
# A `copy' row is not a defect. Bell Labs shipped binaries whose
# sources are not on the tape -- all 34 games among them -- and
# this build cannot conjure them. The last column says what can:
# V10 has an ANSI C compiler (cmd/lcc) for the two /bin/cc
# rejects, and most games exist in the BSD sources V11 work will
# bring in.
#
#	build 206	copy 175	of 381
#
#name	dir	from	why	fixed by
...	/usr/games	copy	no source in the tape	V11/BSD
11as	/usr/bin	copy	no source in the tape	V10, or V11/BSD
11as2	/usr/lib	copy	no source in the tape	V10, or V11/BSD
11c0	/usr/lib	copy	no source in the tape	V10, or V11/BSD
11c1	/usr/lib	copy	no source in the tape	V10, or V11/BSD
11c2	/usr/lib	copy	no source in the tape	V10, or V11/BSD
11cc	/usr/bin	copy	no source in the tape	V10, or V11/BSD
11ld	/usr/bin	copy	no source in the tape	V10, or V11/BSD
11nm	/usr/bin	copy	no source in the tape	V10, or V11/BSD
11ranlib	/usr/bin	copy	no source in the tape	V10, or V11/BSD
11reloc	/usr/bin	copy	no source in the tape	V10, or V11/BSD
11size	/usr/bin	copy	no source in the tape	V10, or V11/BSD
11strip	/usr/bin	copy	no source in the tape	V10, or V11/BSD
2	/usr/bin	copy	no source in the tape	V10, or V11/BSD
3	/usr/bin	copy	no source in the tape	V10, or V11/BSD
4	/usr/bin	copy	no source in the tape	V10, or V11/BSD
5	/usr/bin	copy	no source in the tape	V10, or V11/BSD
6	/usr/bin	copy	no source in the tape	V10, or V11/BSD
=	/usr/bin	copy	no source in the tape	V10, or V11/BSD
==	/usr/bin	copy	no source in the tape	V10, or V11/BSD
CC	/usr/bin	copy	no source in the tape	V10, or V11/BSD
Mail	/usr/bin	copy	no source in the tape	V10, or V11/BSD
Mail.help	/usr/lib	copy	no source in the tape	V10, or V11/BSD
Mail.help.~	/usr/lib	copy	no source in the tape	V10, or V11/BSD
Mail.rc	/usr/lib	copy	no source in the tape	V10, or V11/BSD
VCC	/usr/bin	copy	no source in the tape	V10, or V11/BSD
WWB	/usr/bin	copy	no source in the tape	V10, or V11/BSD
[	/bin	copy	no source in the tape	V10, or V11/BSD
ac	/etc	build	-	-
accton	/etc	build	-	-
aculist	/etc	copy	no source in the tape	V10, or V11/BSD
adb	/bin	build	-	-
apply	/usr/bin	build	-	-
ar	/bin	build	-	-
arff	/bin	build	-	-
arithmetic	/usr/games	copy	no source in the tape	V11/BSD
as	/bin	build	-	-
asa	/usr/bin	build	-	-
ascii	/usr/bin	build	-	-
asd	/etc	copy	links lib.a, built inside the component	this build
at	/usr/bin	build	-	-
atc	/usr/games	copy	no source in the tape	V11/BSD
atrun	/usr/lib	build	-	-
awk	/usr/bin	copy	yacc/lex (awk.g.y awk.lx.l) -- needs gen rules, like config	this build
back	/usr/games	copy	no source in the tape	V11/BSD
banner	/usr/games	copy	no source in the tape	V11/BSD
basename	/usr/bin	build	-	-
bc	/usr/bin	build	-	-
bcd	/usr/games	build	-	-
bigp	/usr/games	copy	no source in the tape	V11/BSD
bls	/bin	copy	no source in the tape	V10, or V11/BSD
bundle	/usr/bin	build	-	-
byteyears	/usr/bin	build	-	-
c2	/lib	build	-	-
cal	/usr/bin	build	-	-
calendar	/usr/bin	copy	3 programs in one directory (calendar1 calendar2 calendar4) -- needs the makefile's own object split	this build
calendar1	/usr/lib	build	-	-
calendar2	/usr/lib	build	-	-
calendar3	/usr/lib	copy	no source in the tape	V10, or V11/BSD
calendar4	/usr/lib	build	-	-
canfield	/usr/games	copy	no source in the tape	V11/BSD
cat	/bin	build	-	-
cb	/usr/bin	build	-	-
cbrogue	/usr/games	copy	no source in the tape	V11/BSD
cc	/bin	build	-	-
ccom	/lib	build	-	-
cflow	/usr/bin	build	-	-
cfront	/usr/bin	copy	C++ translator; /bin/cc rejects it -- munch.c:18: `saw NAME ... cannot recover from earlier errors'	V10 (cmd/lcc is ANSI)
checkeq	/usr/bin	build	-	-
chgrp	/etc	build	-	-
chmod	/bin	build	-	-
chown	/etc	build	-	-
clri	/etc	build	-	-
cmp	/bin	build	-	-
col	/usr/bin	build	-	-
comm	/usr/bin	build	-	-
compat	/usr/bin	copy	System V compatibility traps; unixtraps.c:328: `non-constant case expression'	V10 (cmd/lcc is ANSI)
compress	/usr/bin	build	-	-
config	/etc	build	-	-
coreid	/usr/bin	build	-	-
cp	/bin	build	-	-
cpio	/usr/bin	build	-	-
cpp	/lib	build	-	-
cron	/etc	build	-	-
crontab	/etc	copy	no source in the tape	V10, or V11/BSD
crypt	/usr/bin	build	-	-
csh	/bin	copy	redefines .c.o as a multi-step recipe (xstr string sharing) -- objects are not plain compilations	this build
ct	/usr/bin	build	-	-
ctags	/usr/bin	build	-	-
cu	/usr/bin	build	-	-
